,A,B,C,D
2000-01-30,4.4121125756957005,-5.838532633454349,-3.3441792431333788,-2.31034537183234
2000-01-31,1.9317352183037442,-4.9085546588639,-3.2118610631426328,-0.830097685476167
2000-02-01,2.3419273651795005,-5.327520507796289,-3.6703424641320916,-1.323306379750621
2000-02-02,2.609630896346567,-5.73202034899277,-4.2342261236071375,-1.7346695040304703
2000-02-03,2.6728538163028905,-6.106650399141374,-2.825964351808591,0.40345867342052366
2000-02-04,1.4660766733933712,-5.772119867815798,-2.39902188405651,1.2770586357693858
2000-02-05,1.357511739827054,-6.195458572816902,-0.8802096641043786,2.0339677796871953
2000-02-06,2.2487019631765746,-7.070409304657007,-0.724313461073323,1.680926150178927
2000-02-07,2.7584418392916072,-7.537762043132615,-1.446503621618478,1.3816228552682501
2000-02-08,2.493891463644882,-6.414211915843692,-1.753935583220491,2.0078733172771037
2000-02-09,2.42076391112857,-6.129480243722486,-1.4656060808121278,1.7426334987380536
2000-02-10,3.295143439490491,-6.531287326085369,-2.2000607970756954,1.5931558959109928
2000-02-11,3.1445002986513626,-7.7256085393355,-3.753105172703358,1.095202855461879
2000-02-12,2.069715613581903,-7.402692409043787,-2.286474856320983,1.0301730480262608
2000-02-13,3.8451546570022304,-6.538377283161287,-1.4053878495855807,2.5970612743764603
2000-02-14,4.85620138004845,-4.496514255551459,-1.1783945841257966,3.491793398809787
2000-02-15,5.368206818825831,-4.947116783054938,-1.2734143288032864,3.222595027800537
2000-02-16,6.47540896317733,-4.596114503228133,-0.5068626615557746,2.467157402201864
2000-02-17,6.101060379849962,-4.640368243882395,-1.5022979121805715,1.1895697932751819
2000-02-18,6.173523113352469,-3.2358746018356896,-1.1526896714944506,-0.41635859594264657
2000-02-19,4.434269413365941,-1.589447070393129,-2.448412681209155,-0.24631422567531572
2000-02-20,3.6472628996391667,-2.6133192041246396,-3.0381655048135534,0.7265512804424198
2000-02-21,3.979971085974294,-2.6958098620523177,-1.9732545508072,0.16239937560757023
2000-02-22,2.0918704112794964,-1.4847640373698665,-2.441245970826806,0.5915909105975621
2000-02-23,1.9318886051252675,-1.0557735565860473,-3.0539022842529326,1.6150073792841966
2000-02-24,2.0072894345805206,-3.4740453923912935,-2.2507844414826716,0.4910452340928617
2000-02-25,2.2359946775811443,-2.6879620865073823,-0.055112840976230704,1.4434668812625113
2000-02-26,2.3220653312821717,-2.0995974494796683,-1.221250601431541,2.7360198057017637
2000-02-27,0.7745458139505508,-3.4948622713225914,-0.7471932467882794,2.9437191670761225
2000-02-28,-0.4431472070893978,-5.584520576721575,0.5877242322722491,3.2641747745348226
2000-02-29,0.1342595173091179,-6.402042429609549,0.22495186506909853,2.921957064207956
2000-03-01,-1.8447688878198123,-6.417390620862524,1.6162331077640752,2.3205273641267525
2000-03-02,-2.3016359591109468,-6.659810048975012,1.816695589549638,0.3967333951858014
2000-03-03,-1.8615804782796073,-7.58976887684406,2.3507849076076446,0.2771532022502826
2000-03-04,-0.5131124879049167,-7.14996006322724,3.058281038607926,0.13301255017309133
2000-03-05,0.40819505789038646,-9.262116952695866,2.4918455807283126,-0.5074619716888249
2000-03-06,-0.745512497790252,-7.876141306922965,2.7822753514572796,0.3560102543126191
2000-03-07,-0.31515272192619026,-7.714852230041554,4.1849084563275145,0.936432153432914
2000-03-08,0.6911972576187146,-6.153915172050797,3.5568401205534337,0.953978731981889
2000-03-09,0.9478212609077784,-6.328048140791864,2.2292182695345772,1.8036237414330585
2000-03-10,-1.2120820901500062,-6.363925794366663,1.2091462850514412,3.164386486984588
2000-03-11,-0.7018754289747885,-7.320799781436131,-0.6955778758690205,3.123960802013561
2000-03-12,0.5118630450549494,-6.767859989647731,-0.9443606312640589,3.973768656438251
2000-03-13,-0.7482097863086076,-5.011607501275085,-1.2182549763556527,3.3479490654096047
2000-03-14,-1.6085416733360807,-4.931730071362857,-3.172995987079976,3.739943668500729
2000-03-15,-3.3417357944852837,-4.930235453622733,-3.365418892713363,3.2216305505426224
2000-03-16,-3.4276155021259522,-7.416985047225664,-5.163377281111461,3.7067848012930074
2000-03-17,-4.025734906680259,-8.063220504700194,-4.913542702056269,2.2344264643325413
2000-03-18,-4.942578664700104,-8.109685487370157,-5.018351900602186,2.164492498329392
2000-03-19,-5.447275071483982,-7.997354164415619,-4.735367072543823,2.563686639706135
2000-03-20,-6.006719568357339,-9.771230057315593,-6.069853474808825,1.6615579579359645
2000-03-21,-5.821029794734547,-10.029951970641017,-4.812458088124654,2.4146281186718066
2000-03-22,-5.106073290040647,-9.824361361350254,-3.335006898760782,2.8888703748969133
2000-03-23,-3.8794517225672682,-11.669987340521596,-1.9364749099973948,2.2803738095785433
2000-03-24,-3.0047762805362,-12.74911195299462,-2.5771948014001547,1.0044038817467673
2000-03-25,-2.3994763849161327,-10.757674584134842,-2.252693305932858,2.046716547471088
2000-03-26,-3.512461232026835,-10.198495103563076,-2.152054914902789,2.8105535805464625
2000-03-27,-2.8739494561450005,-10.397759796247648,-2.1274080233519963,1.464968752171828
2000-03-28,-2.1203593141978634,-8.603814493450205,-2.938636638488429,1.259262518699237
2000-03-29,-2.8701142717209867,-7.923924969325448,-3.010427014731466,-0.09376795162775009
2000-03-30,-1.1570509797756707,-7.063817096435465,-2.190459509359335,1.1718789412607926
2000-03-31,-1.242248714009079,-6.553394662809884,-2.9688392658898515,2.6893415648162238
2000-04-01,-1.4121882322368045,-5.31412126722689,-3.618804949199921,2.829997100196776
2000-04-02,-2.8295513509100427,-4.844455354214305,-2.4446013072775927,1.6842474270903873
2000-04-03,-4.370284420875829,-2.622108997727873,-3.246877085122936,2.6113837397014192
2000-04-04,-3.712197621910859,-2.5846142490347352,-3.1328791315158364,2.429750416527058
2000-04-05,-1.6663498298302364,-2.61069881988839,-3.4702662444292693,0.37308360816420194
2000-04-06,-2.3856969117278553,-3.094151153944441,-4.145291803942046,-0.025690457811125944
2000-04-07,-2.146671829973742,-2.477512056916701,-4.498287100861338,1.6945937474731136
2000-04-08,-3.4799674833707916,-2.6649773808552153,-5.169860401337371,2.479461287269966
2000-04-09,-3.1800572063769335,-2.5971216190746125,-6.735903544955127,1.7941224591217224
2000-04-10,-2.206514629789994,-0.9455218823081422,-7.806206032408192,2.003498737889116
2000-04-11,-3.5495577794935285,-1.0119195785465707,-9.587230694897425,1.7942097971023627
2000-04-12,-2.117625760653076,-0.986750476886945,-7.609360894896751,2.7092554046554147
2000-04-13,-3.498259548801464,-1.4623836360634432,-6.406020006911059,1.1494376333368916
2000-04-14,-3.7696522374671106,-3.5217728067077103,-4.560164773611629,1.281116022868479
2000-04-15,-3.9495609747498177,-3.2849867233625893,-3.684473762189252,1.5584186006020717
2000-04-16,-3.7590610699711355,-3.523594084281298,-0.7191717766408852,2.6099044075706326
2000-04-17,-3.8907949882161406,-3.209248182840504,-1.3376594003010882,3.337624431678744
2000-04-18,-3.424693004439656,-4.015332875890289,-0.905362597687563,3.350561591633448
2000-04-19,-1.644432325718964,-1.6341440763629729,-1.1683204601238821,2.894828471131234
2000-04-20,-1.4016582925756091,-0.8986570941065324,-2.112719018560002,2.1243826107874226
2000-04-21,-1.1428451477384887,-0.9747988523784238,-1.8734324265161548,3.0106943243586195
2000-04-22,-3.5295799285587712,-1.4401815506735332,-3.1232360406413506,4.219806654358946
2000-04-23,-3.63018085219458,-2.553972246370421,-3.486878495154755,4.199584469607285
2000-04-24,-2.062935883538338,-2.685688124189305,-4.129597419000229,5.962329654238229
2000-04-25,-2.636178595268373,-4.147569115024698,-2.492658426856286,3.6316726968824975
2000-04-26,-5.268736915014635,-5.073832363629016,-1.851666765528455,4.539155630288997
2000-04-27,-6.1696894128255355,-4.653852209056787,-1.581239257330835,4.654500922881565
2000-04-28,-7.169880454571686,-3.709776103369796,0.3921006431181875,5.208186348960427
2000-04-29,-5.060631127435473,-5.702534530094831,0.4377180632674125,3.9435379056645816
2000-04-30,-5.286256215318663,-5.836775752127138,0.7931548166344573,5.195983441610508
2000-05-01,-4.92018868460031,-5.093599838504555,1.6464467595136294,4.5240600986826465
2000-05-02,-5.596531168735283,-3.917644923481232,3.521532684678175,3.754483083406935
2000-05-03,-8.349487898028757,-2.1538066600636996,3.827534094579072,3.9161389868670358
2000-05-04,-8.61719169759814,-3.1825832366745415,3.5984781837699087,4.503055836801396
2000-05-05,-9.852651926333843,-2.611680861831328,3.5845587294953725,6.073435864413996
2000-05-06,-10.71620825837569,-1.5888906043782358,3.2627031685676333,5.778301663480047
2000-05-07,-10.895935420804646,-1.243253911541395,2.676839155886612,7.951453660038128
2000-05-08,-12.093239288577493,0.4565694115960264,3.299216266712671,6.841627391186529
2000-05-09,-12.706354695459085,0.10972137272770005,4.533710936433668,6.63237477943907
2000-05-10,-12.727829163491846,-0.1987448453702047,5.970811483726109,5.580737606574383
2000-05-11,-12.336224257866908,-0.12512720909268,7.939315018402973,4.5574571309172764
2000-05-12,-11.069874930459427,0.7480422832786231,7.217579456149984,3.1219202129281443
2000-05-13,-11.374768894790858,1.7768665832257875,6.969081040818083,2.545134413829534
2000-05-14,-12.45670148653148,1.3174677462979867,7.402432931641601,4.638262914170463
2000-05-15,-11.448551528467496,2.4654428542109024,6.056463488554025,3.7055995544234217
2000-05-16,-12.011662279571956,3.201410683509004,4.202104991609395,3.090095449936082
2000-05-17,-11.956441395158764,3.466260246012608,3.4888399143342563,3.276826531311361
2000-05-18,-12.22737487984938,3.8025774566307513,3.813849362917452,2.8519776047262337
2000-05-19,-10.31770155532904,5.22043093117818,2.707414940484665,1.843222076751941
2000-05-20,-9.093344414935023,4.2445329598956825,3.345352919139256,3.344878318226778
2000-05-21,-8.34645058495641,4.762649063739262,3.27166513786513,4.006172879791023
2000-05-22,-10.679793114450332,3.3386373252329733,2.84644576058208,3.2021501696015404
2000-05-23,-11.36874069039672,4.11927079314154,2.6487355721128103,2.2968291881186933
2000-05-24,-11.102507834883392,3.44284081964675,3.829661377041707,2.8206848549695906
2000-05-25,-10.305680785639705,2.9231386087913744,5.147485450451708,1.3296599088644372
2000-05-26,-12.679859599925951,3.240280761674657,5.18251187127907,0.5499866449203478
2000-05-27,-13.725161586864791,4.056556277296158,6.071073436274643,0.9788337316967155
2000-05-28,-15.202635202811262,3.3461526911756163,5.0955033828603336,0.8412724765967825
2000-05-29,-14.991898758817845,2.947905283795632,3.476677409522238,0.176053844058905
2000-05-30,-16.82828498695418,4.409328499770779,2.708970649211214,0.15143121218648886
2000-05-31,-14.945509173270827,4.39989051655092,3.234913209864803,-0.6402854869240635
2000-06-01,-15.285620244655766,4.481090149973645,3.0680875279292996,-1.6441512911770841
2000-06-02,-15.395920836016556,3.663641582916309,0.7636020540266482,-1.8214501996265606
2000-06-03,-13.756687323578015,3.830710056553689,2.219333076539309,-1.7014821285618873
2000-06-04,-13.755666360865092,5.051839455856939,2.0158943637031137,-1.6021819219988744
2000-06-05,-13.081022615201222,5.126680971422877,1.6042146091124934,-0.3192378431073133
2000-06-06,-13.596253387354063,2.5116797602755736,2.506144792029778,-0.42712237527446184
2000-06-07,-14.438632459810426,2.6675649867900133,3.1311574738869754,0.26440532792139315
2000-06-08,-13.07138532634941,2.8260362390045204,5.927637864500903,1.2614696904303448
2000-06-09,-12.167862143194398,3.1755534421334897,6.817819977158756,1.6505424364435997
2000-06-10,-11.026013371114383,3.027146696988825,6.302749745046613,1.6364621414423302
2000-06-11,-10.835996829184158,2.573596615636084,5.5354075708518735,0.621862178485002
2000-06-12,-11.973270231451512,1.936363724613234,6.273774462943098,0.14646911561781273
2000-06-13,-12.350750345387727,2.7138878111361158,7.046686512286515,1.000094118428449
2000-06-14,-11.04044893264952,3.5246953070819957,6.204093627810209,0.601480647693272
2000-06-15,-9.984219050427003,3.1572006519082025,6.15202488928467,0.8319714503853051
2000-06-16,-9.60514189764487,1.0504760573460894,5.6870884162049755,0.014517549386894535
2000-06-17,-9.276653456721483,0.3876181750137859,6.399684460531685,0.6297190361545106
2000-06-18,-9.419918095646189,0.06621942444891232,5.661158108226893,2.4204617426033757
2000-06-19,-9.087686389634806,-1.0775033599497232,4.739504981700341,2.5182379329064144
2000-06-20,-9.642794298610823,-0.057906601201041186,4.433621394538979,3.7505922923232693
2000-06-21,-10.342977228532147,-0.23163727056344136,2.813521008999856,4.277658139070302
2000-06-22,-10.174927234521343,-0.3417501944343124,4.287917759724974,4.948116171199425
2000-06-23,-10.673966086241107,-1.8217611366059927,4.078301472529576,5.914157063842676
2000-06-24,-8.303743904951297,-0.7378423441492459,2.660295915406702,6.755895375853289
2000-06-25,-6.715935721524223,1.9060611281233049,4.16751204191025,7.412978489738978
2000-06-26,-7.4505126144417515,2.12364423604445,4.005114892763414,7.26274589868296
2000-06-27,-7.498501270874774,2.403789863819825,2.7108617103282935,6.181518707537745
2000-06-28,-6.780715232789167,0.9069615970769227,3.603561708309596,6.008684391083428
2000-06-29,-5.561422810570905,-1.3833696779199023,3.145512531461672,7.0651041776233345
2000-06-30,-6.024177900203655,-0.7371656066756302,4.382024825929151,6.849337970807685
2000-07-01,-4.465777679696327,-2.24230647532755,4.515705946182423,8.201559364542963
2000-07-02,-2.9780889086605518,-0.7281941195752637,3.693845741343944,7.218626027819024
2000-07-03,-2.483598191912938,-0.10682580924850471,3.8391727356358003,8.728761182111791
2000-07-04,-0.7665064185600892,0.25369150063561735,4.66387637849021,9.612024868059999
2000-07-05,-0.790921261372692,-0.09254414823646856,3.7886837994208755,8.625599157434568
2000-07-06,-0.18443089771959686,-0.541865080944451,4.605810372446083,8.631772640582566
2000-07-07,-0.33997378834971026,-0.6008851858600353,5.5618371834339575,8.143585081723085
2000-07-08,0.08848283334215934,1.1623890548946478,6.500091032795547,8.61128227890092
2000-07-09,-0.7006833948096641,1.767396707824434,5.455682128567613,9.304603542197327
2000-07-10,-0.4392405052815388,4.0925185816160035,5.584707478497241,9.868726330424229
2000-07-11,-0.3890223425998593,4.993713349357796,5.5331326051928285,8.615077036875054
2000-07-12,-0.20266262610777352,4.1747749308480815,5.309767897293876,9.33503457871901
2000-07-13,0.651476940447288,2.24969576554661,4.557303621315435,8.977644609042311
2000-07-14,-0.14404053859650445,2.7976623198967165,6.289488585868618,8.883309858829747
2000-07-15,-1.1712801529738806,4.939121332592869,4.670248111283367,8.829563996216061
2000-07-16,-1.5430569198091675,5.362231320090618,5.219282680914341,10.26373264674711
2000-07-17,-2.776146432967994,5.178980807555485,4.1723638146011774,11.406628708506371
2000-07-18,-2.501582234734581,5.922148668986464,3.0212090549273314,11.516708837565389
2000-07-19,-3.4433660004736826,5.6229867619051515,1.6595949733387672,10.380137997773577
2000-07-20,-4.401505028042126,6.842558220890463,0.6131901411805936,8.827873268505723
2000-07-21,-2.2621714115402676,5.514035146549507,0.22336812885907298,8.982581461331332
2000-07-22,-2.63777791527584,5.275413214237008,2.0105900308051226,7.309377304196064
2000-07-23,-3.0242275429924437,3.8202457571489243,2.6048954506572963,7.794143308210634
2000-07-24,-2.133351465559592,3.0618846891423543,1.7856444555879838,8.506147342194023
2000-07-25,0.12781355974464415,2.7232736085927987,0.22463135127854605,7.822645547676094
2000-07-26,0.2554710345273128,3.975767008225641,1.4733938572886935,7.324075255214434
2000-07-27,0.5194047667460321,4.244882748620606,1.164186452330589,7.443912864552748
2000-07-28,1.4626046100427663,5.024943570681085,1.386524089914144,6.306311009530732
2000-07-29,0.9017087007304416,4.5994601291903,2.1537411819468195,8.36449138975457
2000-07-30,0.8899398375847151,4.30218377432546,3.682100808329485,9.36747054881816
2000-07-31,0.8140093771015104,4.378921995941237,3.9801494148464336,11.789194164057433
2000-08-01,1.3956448013262057,4.580357841123212,3.544951202033415,11.039833357622134
2000-08-02,2.0411075023854535,4.1569993853587786,2.8019086705659744,10.59933846891797
2000-08-03,1.851352956584365,3.932569143339312,4.094424646999387,9.695753291829684
2000-08-04,1.4082357427298795,2.822417193971301,3.630553581482858,9.66819032532963
2000-08-05,-0.08118559066075881,3.1867643393699665,3.5826931865282643,11.255022368134016
2000-08-06,-0.07682967666946638,3.5048345202594113,4.4056279256065345,10.549101219166491
2000-08-07,-0.828599423045059,2.0567344389105195,2.3011707209782295,9.908325326967852
2000-08-08,-1.8876291323871852,1.5858822622470863,1.9505812481421922,10.65129065407064
2000-08-09,-3.117149951922295,2.3145720328940596,0.9952012414748337,9.078935654895014
2000-08-10,-3.537272379803156,3.884334595744013,-0.6299434497171605,10.335047158586391
2000-08-11,-3.9722952552316224,3.3931738618001295,-1.1623850291671662,7.743349267821998
2000-08-12,-3.7116232990216456,2.4840004697348848,-2.029818102329112,7.307685383756337
2000-08-13,-3.332044928978484,0.2864785757711732,-2.986450109519253,7.8362650312549285
2000-08-14,-1.2481470100831151,-0.9690852024172432,-1.7016062108567604,7.975305722317597
2000-08-15,-0.6354257809537934,-3.618476695603505,0.6082610013225578,7.669200519758314
2000-08-16,-2.5189138694757074,-4.36793516106864,-0.15397992692420592,8.584580372765293
2000-08-17,-2.8006630000036203,-3.556599914501035,-0.6449275896466906,8.378256384620208
2000-08-18,-2.068182599002436,-4.735672106715914,0.8705663161348056,10.190908250718781
2000-08-19,-1.3051791788916995,-4.425713537619149,0.5361614824323713,10.881778528700346
2000-08-20,0.844547737219489,-4.237815998813939,-0.03934910885770593,11.022760439309312
2000-08-21,1.3495240132412354,-3.455863423450719,-0.8184622440728274,12.290566184768906
2000-08-22,0.6141997718933254,-4.415969114324364,-1.3111759805681165,11.871867031191254
2000-08-23,0.2411555296977484,-5.834305892665259,-0.5871632441406197,11.518613571276102
2000-08-24,0.2691426766939361,-6.893512266297421,-2.0561936537789465,11.744727868147693
2000-08-25,-0.5887749236326653,-6.438395816181042,-2.594706168424719,12.848255541877576
2000-08-26,0.5235453999976097,-7.347483754254492,-2.4870510575216938,11.744089355986487
2000-08-27,0.07929650010549694,-7.911889872276701,-2.2337984086003426,11.967800632713242
2000-08-28,0.4750401029943412,-8.549667252648137,-4.98891837514447,11.23338234822686
2000-08-29,1.203775318532513,-8.620248553675395,-5.801548035516824,10.874227465831137
2000-08-30,0.7888855951875038,-9.039732370088677,-5.167641794890612,11.51444216139187
2000-08-31,-1.6628418407081962,-7.903846596406126,-3.5521442108467896,10.536837764158006
2000-09-01,-1.7642288043541632,-7.319939165324737,-4.9341655899305525,11.640161977218396
2000-09-02,-1.497429690728509,-5.5140465957713545,-5.827900497701122,11.534943010463731
2000-09-03,-3.102127533626785,-6.526048538721653,-5.4352900047220984,12.766197420673244
2000-09-04,-4.300944161925046,-6.731652249267058,-5.768765296053563,12.966451083410261
2000-09-05,-5.470663863397052,-6.7126453423118715,-7.151314648993481,12.54750608416083
2000-09-06,-5.884068564698373,-6.360031433995298,-6.722111166429537,14.282140076170998
2000-09-07,-7.317718894498427,-5.422168974883869,-6.836250161776277,14.219675845685039
2000-09-08,-7.472591184459034,-7.176467853597895,-4.749455211141527,11.584802188186604
2000-09-09,-7.6337982999855845,-7.865235071082011,-4.7433530154477985,12.40182067485024
2000-09-10,-6.905163053866088,-7.244977919659799,-5.905545449952259,10.684264912365565
2000-09-11,-7.059480347612163,-5.44273466958437,-5.582610237251415,9.978415251277639
2000-09-12,-7.534557143409047,-6.948865608268733,-4.961246201014465,9.469828121420717
2000-09-13,-8.583512504625357,-7.960474903250818,-5.799813095294008,10.432663054273506
2000-09-14,-10.52368614293446,-10.065632574478514,-5.705995959111929,9.952974864093328
2000-09-15,-10.736102567303849,-9.8500531785389,-6.168316386058781,9.03714414695947
2000-09-16,-9.877585501154371,-9.803976795202212,-6.38778614719702,8.62865468914002
2000-09-17,-11.139715784893323,-9.52463276358182,-4.970114100137793,9.541762656904892
2000-09-18,-9.981979554238004,-9.279250715913204,-4.357306533672275,6.276028214791836
2000-09-19,-10.926233897579861,-9.363213485081802,-5.587189918662955,5.322927797486406
2000-09-20,-9.475771283771934,-8.581538413607138,-6.141719801714112,6.122599711961016
2000-09-21,-8.309901445984222,-9.64832835382829,-6.063383174953883,5.566505067094376
2000-09-22,-8.68568610808873,-8.74269989382528,-5.583167828514857,5.927047023800252
2000-09-23,-9.418539323906206,-8.152395282259713,-6.462988311117254,6.2878628945472155
2000-09-24,-7.824944315659574,-8.986510608125192,-6.974577850122213,7.322123997558162
2000-09-25,-8.125042264572844,-8.872212088452516,-6.57051208226753,4.550588922371052
2000-09-26,-7.362181230241086,-9.15488246690994,-6.835897899949279,6.140521485411929
2000-09-27,-7.28618591796251,-8.02337332098857,-7.31780865862371,5.941502638046168
2000-09-28,-7.344953834315362,-7.101341326928456,-7.976378094113852,5.502201054439008
2000-09-29,-7.280434963541674,-7.423499170015663,-7.637580212323465,6.928020819590347
2000-09-30,-6.711497148341341,-8.390440812113633,-8.261495412712975,6.4979632515453645
2000-10-01,-5.777839980171093,-7.7877566242955405,-9.025900062447512,5.286451535946988
2000-10-02,-5.446064573760052,-7.694891487383928,-8.952852210702423,5.534613495926318
2000-10-03,-3.7794020105824897,-8.201736008691693,-8.469986709338567,7.397285723102866
2000-10-04,-4.789366670156026,-6.041086565380306,-7.474754506185248,6.369962581865543
2000-10-05,-4.382218767756454,-4.673068516632028,-6.3528084678412355,5.989239475387207
2000-10-06,-6.959702104309772,-4.949015817275308,-4.788735657540058,5.546008958235262
2000-10-07,-7.429565681705001,-4.601502582621459,-5.2614200308351,6.4400994006488474
2000-10-08,-7.1779486700112,-5.243834474574183,-2.543131220676307,8.287256117628786
2000-10-09,-6.4232245597944395,-4.2987090586092815,-2.2834665399508185,8.48876476181187
2000-10-10,-6.831811681383692,-6.14865649845176,-2.135580235443874,6.860438563319107
2000-10-11,-6.90626893625242,-5.354349396110766,-0.9551215878716703,6.5065162491086115
2000-10-12,-5.729484552638003,-5.68931931876791,0.1618776108046951,9.340458210620303
2000-10-13,-3.9604031904170887,-7.436964075760569,0.06975484281235535,10.222249306995298
2000-10-14,-5.496012036218358,-6.037130931295531,1.3257790466577861,9.431594647865156
2000-10-15,-5.861425158934265,-6.176149896095563,1.2284890335064718,9.02977133178084
2000-10-16,-4.06752025549744,-6.307464766855407,-0.14530949251275693,6.662126137849031
2000-10-17,-4.743346558661134,-5.841846516461352,-0.6995365242597203,8.129095148993333
2000-10-18,-4.619963281451031,-6.661499830905862,0.14620659441863304,7.469040668718279
2000-10-19,-2.9724841682309826,-7.188769800220468,-0.2887753014463192,9.918509920043089
2000-10-20,-2.550625280657148,-7.395724853077078,0.9472950008254128,10.52588510906849
2000-10-21,-1.4537247570008,-7.019901663645657,-0.03938844632357141,9.425147218982785
2000-10-22,-1.0286243524553869,-7.127800238412182,0.12511169436741854,9.537136949678366
2000-10-23,-0.1927002517728057,-6.633906338252312,1.5322200714799048,10.217169863969849
2000-10-24,0.46363644452222463,-7.24335393716881,1.8595915427917875,11.11079661818412
2000-10-25,1.0283268705256945,-10.043987921398651,1.6937699292542003,10.633679180836452
2000-10-26,-1.5511989815441716,-8.578302629306856,1.0416720980647534,8.45357863017776
2000-10-27,-2.5841568701865256,-8.141064077138793,1.2296690830232768,10.015571939719779
2000-10-28,-1.0904927035817256,-7.449810276660936,0.5719883143151873,7.801115312205843
2000-10-29,-2.7192081594068496,-8.214571228611383,0.7318889883488655,6.9965792126803805
2000-10-30,-4.133965804070915,-8.50326714632435,1.2106174853076157,7.01699137191239
2000-10-31,-5.696513343044848,-8.280028447953807,0.5730044705968461,7.468095812366776
2000-11-01,-5.653114678737275,-7.817604004806795,1.2521958966468365,8.037157553772884
2000-11-02,-6.121794092709573,-7.413621681189118,3.203541595851648,6.521082732498375
2000-11-03,-6.265326746191462,-8.150842270504377,3.2570008704330764,5.864320241553351
2000-11-04,-6.830786997192281,-6.604132613309736,2.4400103192501867,6.478957235793346
2000-11-05,-7.535643109427938,-6.430254646417789,2.65424697394324,8.721501935572942
2000-11-06,-7.135876812311839,-5.422900069280834,2.369602276169226,7.450684488506905
2000-11-07,-8.708765721104252,-3.3550073566366225,2.322370962421692,7.32290909932613
2000-11-08,-6.782457383025199,-3.732604459536099,1.640598400498607,7.341848241700154
2000-11-09,-6.430887084251253,-3.761629525464911,1.2935314635792112,6.90529451185244
2000-11-10,-5.53924062544971,-4.901080529176985,-0.08016200381627892,6.223019429622189
2000-11-11,-6.826125530587845,-4.045782147984827,0.3079676804824046,7.643822251448036
2000-11-12,-7.025498504826002,-3.967243193186217,1.6231441635738661,6.988868141427096
2000-11-13,-6.598716993135848,-4.869283659900104,1.2800503543963448,6.8071450994718585
2000-11-14,-6.0464118219197704,-4.6516766601398185,0.5184017571838139,6.249915719782949
2000-11-15,-6.604357602372914,-5.958420214002395,2.277267904425546,6.025500726668546
2000-11-16,-7.172924844955581,-5.137241054696292,1.932986170081392,5.474959468046914
2000-11-17,-6.830937931473038,-4.514944079417079,0.452736998374633,6.917998480119562
2000-11-18,-6.645311490936994,-4.892509481638029,-0.742942257356989,5.591831018118727
2000-11-19,-7.039065311877102,-4.470177963629186,0.4955583008161786,5.9830858540495955
2000-11-20,-6.374897433614664,-4.782724907078529,1.0428174647839676,6.419673592869926
2000-11-21,-4.611504394621427,-5.10881532891213,0.9987713835974816,6.784351837446534
2000-11-22,-3.841068696072163,-5.030929937894433,2.355824291462037,7.433092080245856
